iter	F1	Logloss
802	0.9891976202	0.0636691403
803	0.9892072557	0.06362306078
804	0.98922154	0.06355248998
805	0.9892304153	0.06350877959
806	0.9892354869	0.06347461489
807	0.9892446161	0.06342633597
808	0.9892538515	0.06336509593
809	0.98926727	0.06329558139
810	0.9892739699	0.06325785085
811	0.9892848955	0.06321862263
812	0.9892938988	0.06315933318
813	0.9893064322	0.06310217122
814	0.9893114841	0.06305744724
815	0.9893177408	0.06302450981
816	0.9893243146	0.06297768852
817	0.9893369945	0.0629406875
818	0.9893465284	0.06287232659
819	0.9893588302	0.06279946167
820	0.9893700747	0.06273855909
821	0.9893874481	0.06266290345
822	0.9893972549	0.06262305316
823	0.98940366	0.0625900863
824	0.9894114831	0.06254160528
825	0.9894188396	0.06251065331
826	0.9894311838	0.06244688451
827	0.9894380967	0.06241268418
828	0.9894470823	0.06236498113
829	0.9894552842	0.06231863631
830	0.9894605916	0.06226861542
831	0.9894702093	0.06221448596
832	0.9894806544	0.06215424537
833	0.9894869567	0.06210539962
834	0.9894976963	0.06206705647
835	0.9895044401	0.06203090961
836	0.9895123689	0.06198933436
837	0.9895208687	0.06194386903
838	0.9895293254	0.06190262794
839	0.989536727	0.0618408867
840	0.9895457982	0.06179656294
841	0.9895588227	0.06173086836
842	0.9895686355	0.06168864991
843	0.989577981	0.06164895311
844	0.9895878977	0.06160831771
845	0.9895980917	0.06153030731
846	0.9896060655	0.06147985823
847	0.9896193017	0.06143432262
848	0.9896236196	0.06139213092
849	0.9896327123	0.06135364906
850	0.9896440693	0.06129900611
851	0.9896533092	0.06125256661
852	0.9896626164	0.06120165427
853	0.9896711822	0.06115480612
854	0.9896757507	0.06112660031
855	0.9896853519	0.0610887094
856	0.989694045	0.06104814578
857	0.9897019769	0.06100968827
858	0.9897091474	0.06097253294
859	0.9897176942	0.06092829195
860	0.9897328805	0.06085796747
861	0.9897413841	0.06080362089
862	0.9897460167	0.06078292674
863	0.989753783	0.06073782336
864	0.9897643813	0.06067896252
