iter	Passed	Remaining
1204	3325199	814052
1205	3327561	811196
1206	3329900	808335
1207	3332412	805516
1208	3334855	802682
1209	3337279	799843
1210	3339880	797048
1211	3342329	794216
1212	3344821	791396
1213	3347277	788567
1214	3349712	785734
1215	3352188	782912
1216	3354562	780066
1217	3357020	777241
1218	3359529	774428
1219	3361969	771599
1220	3364478	768787
1221	3366951	765967
1222	3369439	763151
1223	3371880	760326
1224	3374296	757495
1225	3376811	754686
1226	3379303	751874
1227	3381913	749088
1228	3384294	746252
1229	3386682	743418
1230	3389298	740634
1231	3391781	737822
1232	3394240	735005
1233	3396781	732207
1234	3399344	729413
1235	3401860	726610
1236	3404573	723850
1237	3407022	721033
1238	3409468	718217
1239	3412070	715434
1240	3414838	712685
1241	3417483	709912
1242	3420016	707115
1243	3422533	704315
1244	3425073	701521
1245	3427680	698740
1246	3430077	695917
1247	3432715	693144
1248	3435155	690331
1249	3438419	687683
1250	3441028	684904
1251	3443663	682131
1252	3446258	679350
1253	3448714	676542
1254	3451246	673749
1255	3453787	670958
1256	3456942	668287
1257	3459595	665518
1258	3462140	662729
1259	3464584	659920
1260	3467079	657122
1261	3469589	654328
1262	3472022	651519
1263	3474512	648722
1264	3477005	645925
1265	3479551	643139
1266	3482287	640389
1267	3484700	637579
1268	3487186	634783
1269	3489890	632027
1270	3492262	629211
1271	3495133	626486
1272	3497503	623671
1273	3500010	620881
1274	3502593	618104
1275	3505063	615309
1276	3507443	612498
1277	3509914	609703
1278	3512610	606948
1279	3515219	604178
1280	3518117	601458
1281	3520938	598724
1282	3523991	596029
1283	3526500	593242
1284	3529332	590510
1285	3532258	587794
1286	3535582	585143
1287	3538001	582341
1288	3540365	579532
1289	3542782	576732
1290	3545231	573937
1291	3547643	571137
1292	3550081	568342
1293	3552566	565555
1294	3555013	562762
1295	3557391	559959
1296	3560086	557207
1297	3562517	554413
1298	3565007	551629
1299	3567805	548893
1300	3571149	546240
1301	3573600	543450
1302	3576153	540677
1303	3578658	537896
1304	3581195	535121
1305	3583633	532331
1306	3586182	529558
1307	3588704	526782
1308	3591252	524010
1309	3593678	521220
1310	3596208	518446
1311	3598790	515680
1312	3601307	512905
1313	3603785	510124
1314	3606258	507344
1315	3608839	504579
1316	3611410	501813
1317	3614028	499054
1318	3616555	496282
1319	3618924	493489
1320	3621599	490739
1321	3624177	487975
1322	3626607	485192
1323	3629156	482425
1324	3631590	479644
1325	3634177	476882
1326	3636965	474148
1327	3639517	471383
1328	3642071	468618
1329	3644451	465832
1330	3647116	463082
1331	3649595	460309
1332	3652046	457533
1333	3654566	454766
